player,temperature,Involvement,RWD,Challenge
Kerstin,T=0,4.5,4.5,4.666666666666667
Läderlappen,T=0,3.75,3.5,3.3333333333333335
Mr Boopo,T=0,4.0,3.75,2.6666666666666665
Phil,T=0,3.25,2.0,4.0
nb,T=0,4.25,2.25,2.6666666666666665
willi,T=0,5.0,4.25,3.6666666666666665
william,T=0,5.0,3.75,3.6666666666666665
Albert,T=0.35,5.0,5.0,4.0
Daniel,T=0.35,4.75,4.75,3.6666666666666665
Dr. Seacat,T=0.35,5.0,3.25,3.3333333333333335
Kakan,T=0.35,4.25,4.25,4.0
Micaela,T=0.35,3.0,3.0,3.0
Prutten,T=0.35,4.75,4.25,4.666666666666667
biffan,T=0.35,4.5,3.0,4.333333333333333
jason,T=0.35,4.25,2.75,3.0
Alfonso,T=0.70,5.0,4.5,4.333333333333333
Dorothy Sayers,T=0.70,4.0,2.25,2.3333333333333335
Nadiuski,T=0.70,4.5,3.0,4.0
WiseDetective,T=0.70,4.25,2.75,3.6666666666666665
faderabraham,T=0.70,4.75,3.5,4.0
pejje,T=0.70,3.25,3.0,4.0
pjongen,T=0.70,4.0,2.0,4.0
venessa,T=0.70,4.0,3.75,4.666666666666667
