player,temperature,age,gender,game_experience,native_language
Ella,T=0,25,female,4,svenska
JonnyVinter,T=0,55,male,3,svenska
Kerstin,T=0,65,female,1,svenska
Liss,T=0,35,Female,3,Swedish
Läderlappen,T=0,25,Male,4,Svenska
Mr Boopo,T=0,35,male,4,swedish
Phil,T=0,45,male,5,swedish
Randulv,T=0,65,male,1,svenska
nb,T=0,25,female,1,sv/eng
willi,T=0,25,female,1,swedish
william,T=0,25,male,5,swedish
Albert,T=0.35,18,male,4,swedish
Daniel,T=0.35,25,male,5,Svenska
Dr. Seacat,T=0.35,18,male,4,"polska, svenska"
Kakan,T=0.35,25,male,5,svenska
Micaela,T=0.35,55,female,1,svenska
Prutten,T=0.35,25,female,3,svenska
anton,T=0.35,35,male,5,svenska
biffan,T=0.35,35,male,5,Svenska
jason,T=0.35,25,male,2,english
lyckatillmedkexet,T=0.35,18,male,4,Svenska
Alfonso,T=0.70,25,male,5,svenska
Boris,T=0.70,25,male,5,Danish
Dorothy Sayers,T=0.70,25,female,3,Svenska
Hans Jurgen,T=0.70,65,male,1,Tyska
Nadiuski,T=0.70,35,female,3,Swedish
WiseDetective,T=0.70,65,male,2,svenska
faderabraham,T=0.70,25,male,3,swedish
gman,T=0.70,25,male,5,swedish
kaptenkaos,T=0.70,25,male,5,svenska
pejje,T=0.70,25,male,3,Svenska
pjongen,T=0.70,25,male,5,swedish
venessa,T=0.70,25,female,2,swedish
