player,temperature,completed,accused_npc,accused_correct,age,gender,game_experience,native_language,Involvement,RWD,Challenge,Overall
Ella,T=0,True,npc_pamela,False,25.0,female,4.0,svenska,4.5,3.25,3.6666666666666665,3.8181818181818183
JonnyVinter,T=0,True,npc_beatrice,True,55.0,male,3.0,svenska,5.0,4.0,3.6666666666666665,4.2727272727272725
Kerstin,T=0,True,npc_bergström,False,65.0,female,1.0,svenska,4.5,4.5,4.666666666666667,4.545454545454546
Liss,T=0,True,npc_beatrice,True,35.0,female,3.0,Swedish,4.25,4.25,4.666666666666667,4.363636363636363
Läderlappen,T=0,True,npc_beatrice,True,25.0,male,4.0,Svenska,3.75,3.5,3.3333333333333335,3.5454545454545454
Mr Boopo,T=0,True,npc_beatrice,True,35.0,male,4.0,swedish,4.0,3.75,2.6666666666666665,3.5454545454545454
Phil,T=0,True,npc_mariana,False,45.0,male,5.0,swedish,3.25,2.0,4.0,3.0
Randulv,T=0,True,npc_beatrice,True,65.0,male,1.0,svenska,5.0,3.5,4.666666666666667,4.363636363636363
nb,T=0,True,npc_beatrice,True,25.0,female,1.0,sv/eng,4.25,2.25,2.6666666666666665,3.090909090909091
willi,T=0,True,npc_bergström,False,25.0,female,1.0,swedish,5.0,4.25,3.6666666666666665,4.363636363636363
william,T=0,True,npc_pamela,False,25.0,male,5.0,swedish,5.0,3.75,3.6666666666666665,4.181818181818182
Albert,T=0.35,True,npc_beatrice,True,18.0,male,4.0,swedish,5.0,5.0,4.0,4.7272727272727275
Daniel,T=0.35,True,npc_beatrice,True,25.0,male,5.0,Svenska,4.75,4.75,3.6666666666666665,4.454545454545454
Dr. Seacat,T=0.35,True,npc_beatrice,True,18.0,male,4.0,"polska, svenska",5.0,3.25,3.3333333333333335,3.909090909090909
Kakan,T=0.35,True,npc_beatrice,True,25.0,male,5.0,svenska,4.25,4.25,4.0,4.181818181818182
Micaela,T=0.35,False,,,55.0,female,1.0,svenska,3.0,3.0,3.0,3.0
Prutten,T=0.35,True,npc_bergström,False,25.0,female,3.0,svenska,4.75,4.25,4.666666666666667,4.545454545454546
anton,T=0.35,True,npc_beatrice,True,35.0,male,5.0,svenska,3.5,2.5,3.3333333333333335,3.090909090909091
biffan,T=0.35,True,npc_beatrice,True,35.0,male,5.0,Svenska,4.5,3.0,4.333333333333333,3.909090909090909
jason,T=0.35,True,npc_beatrice,True,25.0,male,2.0,english,4.25,2.75,3.0,3.3636363636363638
lyckatillmedkexet,T=0.35,True,npc_pamela,False,18.0,male,4.0,Svenska,4.25,2.5,4.333333333333333,3.6363636363636362
Alfonso,T=0.70,True,npc_bergström,False,25.0,male,5.0,svenska,5.0,4.5,4.333333333333333,4.636363636363637
Boris,T=0.70,True,npc_beatrice,True,25.0,male,5.0,Danish,4.0,4.0,3.3333333333333335,3.8181818181818183
Dorothy Sayers,T=0.70,True,npc_beatrice,True,25.0,female,3.0,Svenska,4.0,2.25,2.3333333333333335,2.909090909090909
Hans Jurgen,T=0.70,True,npc_mariana,False,65.0,male,1.0,Tyska,3.5,3.0,4.0,3.4545454545454546
Nadiuski,T=0.70,True,npc_mariana,False,35.0,female,3.0,Swedish,4.5,3.0,4.0,3.8181818181818183
WiseDetective,T=0.70,True,npc_beatrice,True,65.0,male,2.0,svenska,4.25,2.75,3.6666666666666665,3.5454545454545454
faderabraham,T=0.70,True,npc_bergström,False,25.0,male,3.0,swedish,4.75,3.5,4.0,4.090909090909091
gman,T=0.70,True,npc_beatrice,True,25.0,male,5.0,swedish,4.5,3.25,2.6666666666666665,3.5454545454545454
kaptenkaos,T=0.70,True,npc_beatrice,True,25.0,male,5.0,svenska,3.25,1.25,1.3333333333333333,2.0
pejje,T=0.70,True,npc_beatrice,True,25.0,male,3.0,Svenska,3.25,3.0,4.0,3.3636363636363638
pjongen,T=0.70,True,npc_wilhelm,False,25.0,male,5.0,swedish,4.0,2.0,4.0,3.272727272727273
venessa,T=0.70,False,,,25.0,female,2.0,swedish,4.0,3.75,4.666666666666667,4.090909090909091
